Individual,PercN,PercC
1018,2.45,43.26
1020,3.02,46.58
1022,1.76,44.13
1023,1.93,44.94
1028,3.33,43.34
1029,1.72,37.63
1030,2.51,40.30
1032,2.24,41.47
1038,2.38,42.03
1040,2.27,42.69
1042,2.41,40.64
1043,2.17,40.89
1047,2.14,45.46
1051,3.06,40.21
1052,2.73,42.35
1054,3.15,41.81
1055,2.38,41.72
1062,3.19,40.23
1064,3.06,33.80
1066,2.31,39.55
1067,3.09,39.96
1075,2.59,36.55
1077,2.59,42.03
1079,1.95,38.35
1083,2.26,46.60
1084,1.77,46.25
1085,2.11,31.69
1087,2.51,37.79
1089,2.84,40.09
1091,2.88,42.59
1093,1.30,43.05
1096,1.74,39.48
1098,2.92,37.61
1100,3.27,41.50
1101,3.31,30.89
1102,2.25,40.01
1103,2.69,38.90
1104,2.86,42.84
1106,1.28,42.75
1108,1.95,45.16
1110,3.16,39.84
1112,3.17,42.59
1122,2.89,41.71
1125,2.60,42.55
1127,3.04,43.17
1131,1.88,43.21
1136,2.80,41.34
1137,2.07,42.56
1138,2.26,40.75
1139,2.56,43.39
1142,3.17,44.26
1145,1.83,44.30
1146,1.82,44.93
1147,2.29,46.49
1149,2.82,42.73
1150,2.33,39.68
1151,2.68,36.71
1152,2.99,23.61
1153,3.05,45.31
1158,1.79,42.58
1160,1.83,34.12
1161,2.31,42.23
1162,2.79,42.69
1165,1.87,42.11
1167,3.97,103.40
1170,3.54,44.77
1172,3.26,40.86
1173,3.15,38.24
1175,2.86,42.36
1176,3.09,35.29
1181,3.27,30.70
1186,2.43,36.68
1188,1.96,39.92
1191,2.12,32.51
1192,1.82,46.29
1193,3.32,40.99
1195,3.18,45.01
1197,2.17,37.85
