Species,Treatment,Tray_Num,Individual,ANPP,BNPP,Notes,,,,,,
CN ,S3,,968,0.0756,0.1419,,,,,,,
CN ,S3,,977,0.1518,0.2116,,,,,,,
CN ,S3,,978,0.0770,0.0405,,,,,,,
CN ,S3,,979,0.0467,0.0451,,,,,,,
CN ,S3,,980,0.0596,0.0947,,,,,,,
CN ,S3,,989,0.0947,0.1431,,,,,,,
CN ,S3,,990,0.1362,0.0932,,,,,,,
CN ,S3,,991,0.1980,0.1841,,,,,,,
CN ,S3,,992,0.0463,0.0329,,,,,,,
CN ,S3,,1005,0.0390,0.0296,,,,,,,
CN ,S3,,1006,0.0503,0.033,,,,,,,
CN ,S3,,1007,0.1038,0.0601,,,,,,,
CN ,S3,,1008,0.1128,0.0846,,,,,,,
CN ,S3,,1017,0.1248,0.1935,,,,,,,
CN ,S3,,1018,0.1216,0.1142,,,,,,,
CN ,S3,,1019,0.0389,0.0293,,,,,,,
CN ,S3,,1020,0.2095,0.1402,,,,,,,
CN ,S3,,1025,0.0618,0.0486,,,,,,,
CN ,S3,,1026,0.0350,0.0278,,,,,,,
CN ,S3,,1027,0.0524,0.0303,,,,,,,
CN ,S3,,1028,0.0860,0.2288,,,,,,,
CN ,S3,,1037,0.1514,0.1904,,,,,,,
CN ,S3,,1038,0.0909,0.0744,,,,,,,
CN ,S3,,1039,0.1144,0.1435,,,,,,,
CN ,S3,,1040,0.0779,0.0993,,,,,,,
CN ,S3,,1049,0.0740,0.0536,,,,,,,
CN ,S3,,1050,0.0594,0.025,,,,,,,
CN ,S3,,1051,0.0597,0.0475,,,,,,,
CN ,S3,,1052,0.0964,0.084,,,,,,,
CN ,S3,,1061,0.0518,0.0339,,,,,,,
CN ,S3,,1062,0.0646,0.0841,,,,,,,
CN ,S3,,1063,0.0817,0.049,,,,,,,
CN ,S3,,1064,0.0589,0.0488,,,,,,,
CN ,S3,,1073,0.2035,0.0939,,,,,,,
CN ,S3,,1074,0.2305,0.1626,,,,,,,
CN ,S3,,1075,0.0429,0.0284,,,,,,,
CN ,S3,,1076,0.0243,0.012,,,,,,,
CN ,S3,,1085,0.0735,0.0473,,,,,,,
CN ,S3,,1086,0.1075,0.1141,,,,,,,
CN ,S3,,1087,0.0565,0.0513,,,,,,,
CN ,S3,,1088,0.0752,0.0671,,,,,,,
CN ,S3,,1097,0.0529,0.0433,,,,,,,
CN ,S3,,1098,0.0583,0.0428,,,,,,,
CN ,S3,,1099,0.0137,0.0092,,,,,,,
CN ,S3,,1100,0.0611,0.0765,,,,,,,
CN ,S3,,1109,0.0574,0.1126,,,,,,,
CN ,S3,,1110,0.0544,0.0649,,,,,,,
CN ,S3,,1111,0.0457,0.0608,,,,,,,
CN ,S3,,1112,0.1073,0.0936,,,,,,,
CN ,S3,,1121,0.0821,0.0806,,,,,,,
CN ,S3,,1122,0.0559,0.0239,,,,,,,
CN ,S3,,1123,0.1119,0.0986,,,,,,,
CN ,S3,,1124,0.0395,0.0396,,,,,,,
CN ,S3,,1133,0.0538,0.0883,,,,,,,
CN ,S3,,1134,0.0266,0.0241,,,,,,,
CN ,S3,,1135,0.0769,0.0975,,,,,,,
CN ,S3,,1136,0.0995,0.115,,,,,,,
CN ,S3,,1141,0.0413,0.0382,,,,,,,
CN ,S3,,1142,0.0795,0.0721,,,,,,,
CN ,S3,,1143,0.0592,0.1538,,,,,,,
CN ,S3,,1144,0.0386,0.0369,,,,,,,
CN ,S3,,1153,0.2341,0.1881,,,,,,,
CN ,S3,,1154,0.1773,0.1258,,,,,,,
CN ,S3,,1155,0.1018,0.1606,,,,,,,
CN ,S3,,1156,0.0405,0.0285,,,,,,,
CN ,S3,,1169,0.1475,0.193,,,,,,,
CN ,S3,,1170,0.0857,0.0778,,,,,,,
CN ,S3,,1171,0.0768,0.1345,,,,,,,
CN ,S3,,1172,0.0383,0.0316,,,,,,,
CN ,S3,,1181,0.0425,0.0344,,,,,,,
CN ,S3,,1182,0.0607,0.0564,,,,,,,
CN ,S3,,1183,0.0517,0.0389,,,,,,,
CN ,S3,,1184,0.0604,0.0598,,,,,,,
CN ,S3,,1193,0.0828,0.0892,,,,,,,
CN ,S3,,1194,0.0577,0.501,,,,,,,
CN ,S3,,1195,0.0861,0.0848,,,,,,,
CN ,S3,,1196,0.0749,0.2045,,,,,,,
LH,Control,,5,0.0123,0.0142,,,,,,,
LH,Control,,6,0.0190,0.0292,,,,,,,
LH,Control,,7,0.0194,0.0275,,,,,,,
LH,Control,,8,0.0153,0.02,,,,,,,
LH,Control,,17,0.0208,0.0138,,,,,,,
LH,Control,,18,0.0228,0.0452,,,,,,,
LH,Control,,19,0.0184,0.0289,,,,,,,
LH,Control,,20,0.0131,0.0167,,,,,,,
LH,Control,,25,0.0168,0.41,,,,,,,
LH,Control,,26,0.0230,0.0357,,,,,,,
LH,Control,,27,0.0166,0.0182,,,,,,,
LH,Control,,28,0.0199,0.0305,,,,,,,
LH,Control,,37,0.0172,0.0223,,,,,,,
LH,Control,,38,0.0206,0.0361,,,,,,,
LH,Control,,39,0.0135,0.0264,,,,,,,
LH,Control,,40,0.0207,0.0469,,,,,,,
LH,Control,,49,0.0194,0.0333,,,,,,,
LH,Control,,50,0.0226,0.0403,,,,,,,
LH,Control,,51,0.0213,0.0363,,,,,,,
LH,Control,,52,0.0168,0.0192,,,,,,,
LH,Control,,61,0.0246,0.0266,,,,,,,
LH,Control,,62,0.0217,0.0252,,,,,,,
LH,Control,,63,0.0316,0.0378,,,,,,,
LH,Control,,64,0.0252,0.0206,,,,,,,
LH,Control,,73,0.0229,0.0472,,,,,,,
LH,Control,,74,0.0179,0.0296,,,,,,,
LH,Control,,75,0.0317,0.0306,,,,,,,
LH,Control,,76,0.0284,0.0592,,,,,,,
LH,Control,,81,0.0436,0.0402,,,,,,,
LH,Control,,82,0.0257,0.0325,,,,,,,
LH,Control,,83,0.0198,0.0265,,,,,,,
LH,Control,,84,0.0132,0.024,,,,,,,
LH,Control,,93,0.0176,0.0189,,,,,,,
LH,Control,,94,0.0334,0.0347,,,,,,,
LH,Control,,95,0.0118,0.014,,,,,,,
LH,Control,,96,0.0114,0.0019,,,,,,,
LH,Control,,109,0.0732,0.1075,,,,,,,
LH,Control,,110,0.0409,0.0126,,,,,,,
LH,Control,,111,0.0190,0.0237,,,,,,,
LH,Control,,112,0.0301,0.0141,,,,,,,
LH,Control,,121,0.0231,0.0294,,,,,,,
LH,Control,,122,0.0265,0.0307,,,,,,,
LH,Control,,123,0.0226,0.0221,,,,,,,
LH,Control,,124,0.2927,0.1873,,,,,,,
LH,Control,,133,0.0313,0.0198,,,,,,,
LH,Control,,134,0.0328,0.0407,,,,,,,
LH,Control,,135,0.0295,0.038,,,,,,,
LH,Control,,136,0.0301,0.0282,,,,,,,
LH,Control,,145,0.0299,0.0364,,,,,,,
LH,Control,,146,0.0368,0.0369,,,,,,,
LH,Control,,147,0.0373,0.0265,,,,,,,
LH,Control,,148,0.0291,0.0215,,,,,,,
LH,Control,,157,0.0212,0.017,,,,,,,
LH,Control,,158,0.0166,0.0086,,,,,,,
LH,Control,,159,0.0267,0.0242,,,,,,,
LH,Control,,160,0.0215,0.0135,,,,,,,
LH,Control,,169,0.0524,0.0232,,,,,,,
LH,Control,,170,0.0237,0.0288,,,,,,,
LH,Control,,171,0.0320,0.0329,,,,,,,
LH,Control,,172,0.0325,0.0343,,,,,,,
LH,Control,,185,0.0265,0.0326,,,,,,,
LH,Control,,186,0.0203,0.0258,,,,,,,
LH,Control,,187,0.0166,0.0149,,,,,,,
LH,Control,,188,0.0201,0.0177,,,,,,,
LH,Control,,197,0.0135,0.0071,,,,,,,
LH,Control,,198,0.0125,0.0073,,,,,,,
LH,Control,,199,0.0217,0.0175,,,,,,,
LH,Control,,200,0.0160,0.0148,,,,,,,
LH,Control,,201,0.0136,0.0098,,,,,,,
LH,Control,,202,0.0298,0.0168,,,,,,,
LH,Control,,203,0.0193,0.0283,,,,,,,
LH,Control,,204,0.0580,0.0494,,,,,,,
LH,Control,,213,0.0291,0.0411,,,,,,,
LH,Control,,214,0.0216,0.0185,,,,,,,
LH,Control,,215,0.0272,0.0196,,,,,,,
LH,Control,,216,0.0287,0.0232,,,,,,,
LH,Control,,229,0.0288,0.0188,,,,,,,
LH,Control,,230,0.0258,0.0335,,,,,,,
LH,Control,,231,0.0264,0.024,,,,,,,
LH,Control,,232,0.0214,0.023,,,,,,,
LH,Control,,241,0.0148,0.0145,,,,,,,
LH,Control,,242,0.0593,0.0555,,,,,,,
LH,Control,,243,0.0161,0.0131,,,,,,,
LH,Control,,244,0.0187,0.0101,,,,,,,
LH,Control,,253,0.0288,0.0209,,,,,,,
LH,Control,,254,0.0208,0.025,,,,,,,
LH,Control,,255,0.0338,0.0218,,,,,,,
LH,Control,,256,0.1601,0.0968,,,,,,,
LH,Control,,265,0.0219,0.0212,,,,,,,
LH,Control,,266,0.0344,0.0243,,,,,,,
LH,Control,,267,0.0397,0.0297,,,,,,,
LH,Control,,268,0.0260,0.0195,,,,,,,
LH,Control,,277,0.0215,0.0244,,,,,,,
LH,Control,,278,0.0579,0.0692,,,,,,,
LH,Control,,279,0.1136,0.0665,,,,,,,
LH,Control,,280,0.0222,0.0246,,,,,,,
LH,Control,,289,0.0253,0.0225,,,,,,,
LH,Control,,290,0.0161,0.0048,,,,,,,
LH,Control,,291,0.0176,0.0127,,,,,,,
LH,Control,,292,0.0520,0.0101,,,,,,,
LH,S1,,301,0.0487,0.0441,,,,,,,
LH,S1,,302,0.0668,0.0816,,,,,,,
LH,S1,,303,0.0437,0.039,,,,,,,
LH,S1,,304,0.0309,0.0394,,,,,,,
LH,S1,,313,0.0384,0.0471,,,,,,,
LH,S1,,314,0.0464,0.0738,,,,,,,
LH,S1,,315,0.0221,0.0136,,,,,,,
LH,S1,,316,0.0235,0.0244,,,,,,,
LH,S1,,325,0.2512,0.193,,,,,,,
LH,S1,,326,0.2682,0.1243,,,,,,,
LH,S1,,327,0.0646,0.0877,,,,,,,
LH,S1,,328,0.1530,0.1561,,,,,,,
LH,S1,,337,0.0197,0.0433,,,,,,,
LH,S1,,338,0.0268,0.0435,,,,,,,
LH,S1,,339,0.1098,0.0807,,,,,,,
LH,S1,,340,0.0250,0.024,,,,,,,
LH,S1,,349,0.1175,0.0801,,,,,,,
LH,S1,,350,0.2736,0.1477,,,,,,,
LH,S1,,351,0.1217,0.114,,,,,,,
LH,S1,,352,0.2198,0.1355,,,,,,,
LH,S1,,361,0.1460,0.1384,,,,,,,
LH,S1,,362,0.0988,0.0758,,,,,,,
LH,S1,,363,0.0265,0.0435,,,,,,,
LH,S1,,364,0.0202,0.0361,,,,,,,
LH,S1,,373,0.0816,0.1041,,,,,,,
LH,S1,,374,0.0383,0.0505,,,,,,,
LH,S1,,375,0.0261,0.0283,,,,,,,
LH,S1,,376,0.0343,0.0534,,,,,,,
LH,S1,,385,0.0277,0.0655,,,,,,,
LH,S1,,386,0.2402,0.1521,,,,,,,
LH,S1,,387,0.2107,0.1279,,,,,,,
LH,S1,,388,0.1356,0.1058,,,,,,,
LH,S1,,397,0.1604,0.0935,,,,,,,
LH,S1,,398,0.0180,0.0301,,,,,,,
LH,S1,,399,0.1210,0.1031,,,,,,,
LH,S1,,400,0.0729,0.1029,,,,,,,
LH,S1,,409,0.0830,0.1169,,,,,,,
LH,S1,,410,0.0386,0.0308,,,,,,,
LH,S1,,411,0.0363,0.0612,,,,,,,
LH,S1,,412,0.0192,0.0444,,,,,,,
LH,S1,,421,0.1566,0.1334,,,,,,,
LH,S1,,422,0.0965,0.097,,,,,,,
LH,S1,,423,0.1076,0.0652,,,,,,,
LH,S1,,424,0.2890,0.1855,,,,,,,
LH,S1,,433,0.0720,0.1144,,,,,,,
LH,S1,,434,0.0264,0.0126,,,,,,,
LH,S1,,435,0.0575,0.0604,,,,,,,
LH,S1,,436,0.0775,0.0807,,,,,,,
LH,S1,,445,0.0482,0.0878,,,,,,,
LH,S1,,446,0.0754,0.0594,,,,,,,
LH,S1,,447,0.0666,0.0603,,,,,,,
LH,S1,,448,0.1258,0.0686,,,,,,,
LH,S1,,457,0.0461,0.0368,,,,,,,
LH,S1,,458,0.0114,0.0168,,,,,,,
LH,S1,,459,0.0278,0.0557,,,,,,,
LH,S1,,460,0.0517,0.0696,,,,,,,
LH,S1,,469,0.0186,0.0366,,,,,,,
LH,S1,,470,0.0563,0.0579,,,,,,,
LH,S1,,471,0.0580,0.0843,,,,,,,
LH,S1,,472,0.0561,0.0539,,,,,,,
LH,S1,,481,0.2895,0.1919,,,,,,,
LH,S1,,482,0.0804,0.1088,,,,,,,
LH,S1,,483,0.3113,0.2178,,,,,,,
LH,S1,,484,0.0270,0.0412,,,,,,,
LH,S1,,493,0.1130,0.1008,,,,,,,
LH,S1,,494,0.0467,0.0767,,,,,,,
LH,S1,,495,0.0675,0.0935,,,,,,,
LH,S1,,496,0.0757,0.1083,,,,,,,
LH,S1,,501,0.1080,0.0864,,,,,,,
LH,S1,,502,0.1057,0.1464,,,,,,,
LH,S1,,503,0.0554,0.0818,,,,,,,
LH,S1,,504,0.0507,0.0559,,,,,,,
LH,S1,,513,0.0718,0.0583,,,,,,,
LH,S1,,514,0.0544,0.0576,,,,,,,
LH,S1,,515,0.1054,0.0308,,,,,,,
LH,S1,,516,0.0606,0.0315,,,,,,,
LH,S1,,529,0.0754,0.0884,,,,,,,
LH,S1,,530,0.0660,0.0601,,,,,,,
LH,S1,,531,0.1607,0.0872,,,,,,,
LH,S1,,532,0.0588,0.0648,,,,,,,
LH,S1,,541,0.0507,0.0744,,,,,,,
LH,S1,,542,0.0228,0.0243,,,,,,,
LH,S1,,543,0.0449,0.0521,,,,,,,
LH,S1,,544,0.0926,0.0265,,,,,,,
LH,S1,,553,0.0648,0.0686,,,,,,,
LH,S1,,554,0.1101,0.0772,,,,,,,
LH,S1,,555,0.1601,0.0962,,,,,,,
LH,S1,,556,0.0668,0.0571,,,,,,,
LH,S1,,565,0.0699,0.1319,,,,,,,
LH,S1,,566,0.0489,0.0858,,,,,,,
LH,S1,,567,0.0690,0.1257,,,,,,,
LH,S1,,568,0.0718,0.0981,,,,,,,
LH,S1,,577,0.1019,0.1054,,,,,,,
LH,S1,,578,0.0998,0.0815,,,,,,,
LH,S1,,579,0.1047,0.0932,,,,,,,
LH,S1,,580,0.0940,0.0716,,,,,,,
LH,S1,,589,0.1203,0.129,,,,,,,
LH,S1,,590,0.1833,0.1304,,,,,,,
LH,S1,,591,0.0257,0.0374,,,,,,,
LH,S1,,592,0.0450,0.084,,,,,,,
LH,S3,,901,0.0422,0.0564,,,,,,,
LH,S3,,902,0.0348,0.0221,,,,,,,
LH,S3,,903,0.0512,0.0249,,,,,,,
LH,S3,,904,0.0662,0.0295,,,,,,,
LH,S3,,913,0.2594,0.2316,,,,,,,
LH,S3,,914,0.1176,0.1253,,,,,,,
LH,S3,,915,0.1784,0.1151,,,,,,,
LH,S3,,916,0.0628,0.0345,,,,,,,
LH,S3,,925,0.0532,0.0199,,,,,,,
LH,S3,,926,0.0348,0.0385,,,,,,,
LH,S3,,927,0.0400,0.0708,,,,,,,
LH,S3,,928,0.0257,0.0198,,,,,,,
LH,S3,,937,0.1749,0.149,,,,,,,
LH,S3,,938,0.1763,0.0915,,,,,,,
LH,S3,,939,0.0598,0.0674,,,,,,,
LH,S3,,940,0.0372,0.057,,,,,,,
LH,S3,,949,0.0715,0.0487,,,,,,,
LH,S3,,950,0.1905,0.1172,,,,,,,
LH,S3,,951,0.0710,0.0572,,,,,,,
LH,S3,,952,0.0976,0.1378,,,,,,,
LH,S3,,961,0.0256,0.017,,,,,,,
LH,S3,,962,,,DEAD,,,,,,
LH,S3,,963,0.0283,0.0453,,,,,,,
LH,S3,,964,0.0411,0.0387,,,,,,,
LH,S3,,973,0.1000,0.1093,,,,,,,
LH,S3,,974,0.0965,0.1118,,,,,,,
LH,S3,,975,0.0414,0.0415,,,,,,,
LH,S3,,976,0.1229,0.1556,,,,,,,
LH,S3,,981,0.0423,0.0577,,,,,,,
LH,S3,,982,0.0401,0.0649,,,,,,,
LH,S3,,983,0.0428,0.0635,,,,,,,
LH,S3,,984,0.0327,0.0583,,,,,,,
LH,S3,,993,0.0804,0.1043,,,,,,,
LH,S3,,994,0.0396,0.0569,,,,,,,
LH,S3,,995,0.0156,0.0371,,,,,,,
LH,S3,,996,0.0570,0.0304,,,,,,,
LH,S3,,1009,0.0692,0.0775,,,,,,,
LH,S3,,1010,0.0648,0.089,,,,,,,
LH,S3,,1011,0.0163,0.0065,,,,,,,
LH,S3,,1012,0.0811,0.0995,,,,,,,
LH,S3,,1021,0.0413,0.0809,,,,,,,
LH,S3,,1022,0.0924,0.0644,,,,,,,
LH,S3,,1023,0.2254,0.2425,,,,,,,
LH,S3,,1024,0.0174,0.0305,,,,,,,
LH,S3,,1033,0.0343,0.0247,,,,,,,
LH,S3,,1034,0.0242,0.026,,,,,,,
LH,S3,,1035,0.0322,0.0405,,,,,,,
LH,S3,,1036,0.0212,0.024,,,,,,,
LH,S3,,1045,0.0224,0.0327,,,,,,,
LH,S3,,1046,0.0230,0.0457,,,,,,,
LH,S3,,1047,0.1174,0.079,,,,,,,
LH,S3,,1048,0.0233,0.0353,,,,,,,
LH,S3,,1057,0.0388,0.0259,,,,,,,
LH,S3,,1058,0.0176,0.0193,,,,,,,
LH,S3,,1059,0.0692,0.0473,,,,,,,
LH,S3,,1060,0.0192,0.0244,,,,,,,
LH,S3,,1069,0.0545,0.0398,,,,,,,
LH,S3,,1070,0.0143,0.0235,,,,,,,
LH,S3,,1071,0.0377,0.0377,,,,,,,
LH,S3,,1072,0.0834,0.0251,,,,,,,
LH,S3,,1081,0.0325,0.028,,,,,,,
LH,S3,,1082,0.0777,0.0629,,,,,,,
LH,S3,,1083,0.4407,0.2787,,,,,,,
LH,S3,,1084,0.4568,0.3292,,,,,,,
LH,S3,,1093,0.0847,0.1048,,,,,,,
LH,S3,,1094,0.0237,0.033,,,,,,,
LH,S3,,1095,0.0312,0.0405,,,,,,,
LH,S3,,1096,0.0769,0.0599,,,,,,,
LH,S3,,1105,0.0259,0.038,,,,,,,
LH,S3,,1106,0.0368,0.043,,,,,,,
LH,S3,,1107,0.0291,0.0388,,,,,,,
LH,S3,,1108,0.0905,0.1043,,,,,,,
LH,S3,,1117,0.0302,0.0358,,,,,,,
LH,S3,,1118,0.0135,0.0138,,,,,,,
LH,S3,,1119,0.0310,0.032,,,,,,,
LH,S3,,1120,0.0691,0.0329,,,,,,,
LH,S3,,1129,0.0312,0.0369,,,,,,,
LH,S3,,1130,0.0447,0.0614,,,,,,,
LH,S3,,1131,0.0611,0.092,,,,,,,
LH,S3,,1132,0.0813,0.0327,,,,,,,
LH,S3,,1145,0.1104,0.0905,,,,,,,
LH,S3,,1146,0.1726,0.1522,,,,,,,
LH,S3,,1147,0.3272,0.216,,,,,,,
LH,S3,,1148,0.0382,0.056,,,,,,,
LH,S3,,1157,0.1263,0.1004,,,,,,,
LH,S3,,1158,0.0998,0.0648,,,,,,,
LH,S3,,1159,0.0022,0.003,,,,,,,
LH,S3,,1160,0.0518,0.0809,,,,,,,
LH,S3,,1165,0.0477,0.0925,,,,,,,
LH,S3,,1166,0.0625,0.0742,,,,,,,
LH,S3,,1167,0.0144,0.0094,,,,,,,
LH,S3,,1168,0.0197,0.0342,,,,,,,
LH,S3,,1177,0.0331,0.032,,,,,,,
LH,S3,,1178,0.0465,0.0197,,,,,,,
LH,S3,,1179,0.0477,0.0811,,,,,,,
LH,S3,,1180,0.0332,0.0401,,,,,,,
LH,S3,,1189,0.0368,0.0255,,,,,,,
LH,S3,,1190,0.2960,0.2547,,,,,,,
LH,S3,,1191,0.0460,0.0182,,,,,,,
LH,S3,,1192,0.1971,0.1164,,,,,,,
